날짜,종가
2011-03-01,"2,106.70"
2011-02-01,"1,939.30"
2011-01-01,"2,069.73"
2010-12-01,"2,051.00"
2010-11-01,"1,904.63"
2010-10-01,"1,882.95"
2010-09-01,"1,872.81"
2010-08-01,"1,742.75"
2010-07-01,"1,759.33"
2010-06-01,"1,698.29"
2010-05-01,"1,641.25"
2010-04-01,"1,741.56"
2010-03-01,"1,692.85"
2010-02-01,"1,594.58"
2010-01-01,"1,602.43"
2009-12-01,"1,682.77"
2009-11-01,"1,555.60"
2009-10-01,"1,580.69"
2009-09-01,"1,673.14"
2009-08-01,"1,591.85"
2009-07-01,"1,557.29"
2009-06-01,"1,390.07"
2009-05-01,"1,395.89"
2009-04-01,"1,369.36"
2009-03-01,"1,206.26"
2009-02-01,"1,063.03"
2009-01-01,"1,162.11"
2008-12-01,"1,124.47"
2008-11-01,"1,076.07"
2008-10-01,"1,113.06"
2008-09-01,"1,448.06"
2008-08-01,"1,474.24"
2008-07-01,"1,594.67"
2008-06-01,"1,674.92"
2008-05-01,"1,852.02"
2008-04-01,"1,825.47"
2008-03-01,"1,703.99"
2008-02-01,"1,711.62"
2008-01-01,"1,624.68"
2007-12-01,"1,897.13"
2007-11-01,"1,906.00"
2007-10-01,"2,064.85"
2007-09-01,"1,946.48"
2007-08-01,"1,873.24"
2007-07-01,"1,933.27"
2007-06-01,"1,743.60"
2007-05-01,"1,700.91"
2007-04-01,"1,542.24"
2007-03-01,"1,452.55"
2007-02-01,"1,417.34"
2007-01-01,"1,360.23"
2006-12-01,"1,434.46"
2006-11-01,"1,432.21"
2006-10-01,"1,364.55"
2006-09-01,"1,371.41"
2006-08-01,"1,352.74"
2006-07-01,"1,297.82"
2006-06-01,"1,295.15"
2006-05-01,"1,317.70"
2006-04-01,"1,419.73"
2006-03-01,"1,359.60"
2006-02-01,"1,371.59"
2006-01-01,"1,399.83"
2005-12-01,"1,379.37"
2005-11-01,"1,297.44"
2005-10-01,"1,158.11"
2005-09-01,"1,221.01"
2005-08-01,"1,083.33"
2005-07-01,"1,111.29"
2005-06-01,"1,008.16"
2005-05-01,970.21
2005-04-01,911.3
2005-03-01,965.68
2005-02-01,"1,011.36"
2005-01-01,932.7
2004-12-01,895.92
2004-11-01,878.06
2004-10-01,834.84
2004-09-01,835.09
2004-08-01,803.57
2004-07-01,735.34
2004-06-01,785.79
2004-05-01,803.84
2004-04-01,862.84
2004-03-01,880.5
2004-02-01,883.42
2004-01-01,848.5
2003-12-01,810.71
2003-11-01,796.18
2003-10-01,782.36
2003-09-01,697.52
2003-08-01,759.47
2003-07-01,713.52
2003-06-01,669.93
2003-05-01,633.42
2003-04-01,599.35
2003-03-01,535.7
2003-02-01,575.43
2003-01-01,591.86
